date,hour,temperature_2m,precipitation,cloudcover,windspeed_10m
2024-09-10,0,21.9,0.0,1.0,9.2
2024-09-10,1,21.3,0.0,23.0,9.2
2024-09-10,2,20.4,0.0,0.0,7.0
2024-09-10,3,19.9,0.0,0.0,7.0
2024-09-10,4,19.0,0.0,0.0,10.3
2024-09-10,5,19.4,0.0,0.0,9.2
2024-09-10,6,19.4,0.0,0.0,4.8
2024-09-10,7,18.6,0.0,0.0,8.7
2024-09-10,8,17.8,0.0,0.0,7.9
2024-09-10,9,17.4,0.0,0.0,8.0
2024-09-10,10,16.3,0.0,0.0,7.1
2024-09-10,11,16.2,0.0,0.0,3.8
2024-09-10,12,18.2,0.0,13.0,10.5
2024-09-10,13,20.5,0.0,6.0,14.3
2024-09-10,14,21.8,0.0,7.0,17.4
2024-09-10,15,23.3,0.0,26.0,15.2
2024-09-10,16,24.0,0.0,9.0,12.7
2024-09-10,17,25.2,0.0,0.0,12.1
2024-09-10,18,25.5,0.0,2.0,9.6
2024-09-10,19,26.5,0.0,0.0,10.2
2024-09-10,20,26.8,0.0,0.0,10.0
2024-09-10,21,26.5,0.0,2.0,10.7
2024-09-10,22,26.2,0.0,6.0,12.2
2024-09-10,23,24.5,0.0,3.0,9.2
